"run_id","scheduled_order","arm","status","parser_correct","adjudicated_correct","parser_status","reasoning_output_tokens","reasoning_tokens_is_516","input_tokens","cached_input_tokens","output_tokens","wall_ms","ttft_ms","tokens_per_second","final_text_sha256"
"run-0005-control",5,"control","completed",false,false,"resolved",516,true,11331,9088,700,20158,18505,34.72566722889175,"fae92e81f3661bcb3a5521616d91633b37538a7e0ab95c1038a8d0c3a69d9a75"
"run-0001-control",1,"control","completed",false,false,"resolved",516,true,11331,9088,894,23467,21678,38.09604977202029,"89d935bbe05b7c79dbcf72249bb672be3c380e25fb1f7efcd27009b17083dcd0"
"run-0006-treatment",6,"treatment","completed",false,false,"resolved",516,true,11346,9088,821,24586,22707,33.392987879280895,"73a18586b5783f4fb3793308fbbdc09c98e3820e9e341ed21af73a249de3e40a"
"run-0003-treatment",3,"treatment","completed",false,false,"resolved",516,true,11346,9088,791,26030,23293,30.388013830195927,"489b420ebccaf1aa5ee5232d7ac5207a447a10e680e525d81ace889a55b8c528"
"run-0004-control",4,"control","completed",false,false,"resolved",516,true,11331,9088,1146,28227,26482,40.599426081411416,"a43ff825e1e8d5458c100e848157c7b23c9169bb54c0dbdb44594dd73ee80db5"
"run-0009-treatment",9,"treatment","completed",false,false,"resolved",516,true,11346,9088,706,19979,17423,35.33710395915712,"25ff13e53299f7e4a64a804e3bd32691f8f27e7217cb7aaecac6be1919738551"
"run-0012-treatment",12,"treatment","completed",false,false,"resolved",516,true,11346,9088,780,19541,17841,39.91607389591116,"bd7373d13760e9de0ee918c8613eb5b496b2c758ef99d6e3b23308c0417e4a88"
"run-0010-control",10,"control","completed",false,false,"resolved",516,true,11331,9088,905,22795,21309,39.7016889668787,"cb42db0c3eae91493ad4e012667f38bc7afd858253fe5028edef8fd8b568996b"
"run-0013-treatment",13,"treatment","completed",false,false,"resolved",1034,false,11346,11136,1163,26102,24651,44.55597272239675,"9a497732a73c92e4141bfe44f3e20a71964d32ec0b8c32adf850c8dc4b3216c6"
"run-0002-treatment",2,"treatment","completed",true,true,"resolved",2588,false,11346,9088,2786,58016,56501,48.021235521235525,"3492979ae8699eeb641ca8541d494e09ba4e93a355cdbc7314d0cc86963e5714"
"run-0015-control",15,"control","completed",false,false,"resolved",516,true,11331,9088,734,17948,16535,40.89592155114776,"ade8bf17d7cd65829495ac73c3d4690bb0233b75250255bb74544ae27ab34247"
"run-0016-treatment",16,"treatment","completed",false,false,"resolved",516,true,11346,9088,706,18343,16922,38.48879681622417,"5b11c5ca036be82e1992fe10b79418b6a2782c3acfe7ce3d0aced1eea7200e4b"
"run-0017-control",17,"control","completed",false,false,"resolved",516,true,11331,9088,755,21581,18271,34.98447708632594,"d996af1a1a90d2862ac77b9a88be074a77a57fed9cafc539ff2bd5e58138d1f0"
"run-0019-treatment",19,"treatment","completed",false,false,"resolved",516,true,11346,9088,817,24835,20161,32.8971209985907,"4828315eb81b43b5e1348aafa45edadf42a1cc1472e1a0d08eeaa324ac112694"
"run-0020-control",20,"control","completed",false,false,"resolved",1034,false,11331,9088,1267,29674,28174,42.69731077711128,"c148ab581ff07fe915bd011fde10d119bfb0b8061cb61e93d7df2516e8c9afa4"
